Financial Year,Offence Month,Inf No,Face Value,Infringement Type,Offence Description,Location Details
2005/06,Mar,7,2100,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,OLD SOUTH HEAD ROAD (108) BONDI JUNCTION WESTBOUND
2005/06,Nov,9,2700,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,OLD SOUTH HEAD ROAD (108) BONDI JUNCTION WESTBOUND
2005/06,Nov,1,300,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,GLEBE ROAD (508) ADAMSTOWN EASTBOUND
2005/06,Jun,364,109200,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,O'CONNELL STREET(22) PARRAMATTA SOUTHBOUND
2005/06,Jun,208,62400,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,HUME HWY (LIVERPOOL ROAD)(5) BURWOOD (Z) EASTBOUND
2005/06,Jun,48,14400,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,O'RIORDAN STREET (162) MASCOT SOUTHBOUND
2005/06,Jun,328,98400,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,HUME HIGHWAY(8) YAGOONA (Z) EASTBOUND
2005/06,Jun,13,3900,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PACIFIC HIGHWAY (157) TURRAMURRA WESTBOUND
2005/06,May,337,101100,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,NEW SOUTH HEAD ROAD (144) DOUBLE BAY WESTBOUND
2005/06,May,53,15900,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,O'RIORDAN STREET (162) MASCOT SOUTHBOUND
2005/06,May,47,14100,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,FIVE ISLANDS ROAD (607) PORT KEMBLA NORTHBOUND
2005/06,Apr,134,40200,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,SACKVILLE STREET (63) CANLEY VALE NORTHBOUND
2005/06,Apr,84,25200,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,GOULBURN STREET (119) SYDNEY EASTBOUND
2005/06,Apr,81,24300,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PRINCES HIGHWAY(6) KOGARAH SOUTHBOUND
2005/06,Apr,10,3000,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,SPRINGHILL ROAD (600) CONISTON EASTBOUND
2005/06,Apr,36,10800,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,TUDOR STREET (513) HAMILTON WESTBOUND
2005/06,Apr,14,4200,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,KINGSWAY (85) WOOLOOWARE WESTBOUND
2005/06,Mar,153,45900,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,MONA VALE ROAD(38) ST IVES WESTBOUND
2005/06,Feb,323,96900,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,HUME HWY (LIVERPOOL ROAD)(5) BURWOOD (Z) EASTBOUND
2005/06,Feb,107,32100,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PRINCES HIGHWAY (84) SYLVANIA HEIGHTS NORTHBOUND
2005/06,Feb,72,21600,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,MACQUARIE ROAD (506) CARDIFF NORTHBOUND
2005/06,Feb,45,13500,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,MAIN ROAD (503) GLENDALE EASTBOUND
2005/06,Jan,148,44400,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CONCORD ROAD (100) STRATHFIELD NORTH (Z) NORTHBOUND
2005/06,Jan,37,11100,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,SACKVILLE STREET (63) CANLEY VALE NORTHBOUND
2005/06,Jan,67,20100,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,MACQUARIE ROAD (506) CARDIFF NORTHBOUND
2005/06,Dec,39,11700,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,GLEBE ROAD (508) ADAMSTOWN EASTBOUND
2005/06,Dec,53,15900,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PRINCES HIGHWAY (604) FIGTREE SOUTHBOUND
2005/06,Dec,23,6900,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CORRIMAL STREET (610) WOLLONGONG SOUTHBOUND
2005/06,Oct,177,53100,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,WINDSOR ROAD (99) BAULKHAM HILLS SOUTHBOUND
2005/06,Nov,60,18000,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CORRIMAL STREET (610) WOLLONGONG SOUTHBOUND
2005/06,Oct,52,15600,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,O'RIORDAN STREET (162) MASCOT SOUTHBOUND
2005/06,Oct,5,1500,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,SPRINGHILL ROAD (600) CONISTON EASTBOUND
2005/06,Oct,69,20700,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,KING STREET (605) WARRAWONG SOUTHBOUND
2005/06,Oct,171,51300,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PARKER STREET (93) PENRITH NORTHBOUND
2005/06,Oct,149,44700,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PACIFIC HIGHWAY (154) CROWS NEST WESTBOUND
2005/06,Sep,28,8400,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,WARRINGAH FWY/FALCON ST (70) NORTH SYDNEY NORTHBOUND
2005/06,Nov,104,31200,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,WOODVILLE ROAD(15) GUILDFORD NORTHBOUND
2005/06,Nov,238,71400,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,NEW SOUTH HEAD ROAD (144) DOUBLE BAY WESTBOUND
2005/06,Sep,10,3000,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,MAIN ROAD (503) GLENDALE EASTBOUND
2005/06,Sep,6,1800,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,FIVE ISLANDS RD (BRAMBLES CNR) WARRAWONG SOUTHBOUND
2005/06,Jul,19,5700,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),MAITLAND ROAD (511) MAYFIELD WEST WESTBOUND
2007/08,Mar,21,6678,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PENNANT HILLS ROAD (47) THORNLEIGH NORTHBOUND
2007/08,Feb,4,1272,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,STONEY CREEK ROAD (140) PEAKHURST WESTBOUND
2007/08,Feb,8,2544,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,VICTORIA STREET (62) SMITHFIELD WESTBOUND
2007/08,Aug,2,636,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,MILITARY ROAD (111) CREMORNE (Z) SOUTHBOUND
2007/08,Aug,3,954,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,FIVE ISLANDS RD (BRAMBLES CNR) WARRAWONG SOUTHBOUND
2007/08,Oct,5,1590,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,MILITARY ROAD (126) MOSMAN WESTBOUND
2007/08,Jan,10,3180,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PRINCES HIGHWAY (604) FIGTREE SOUTHBOUND
2007/08,Sep,2,636,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,FREDERICK ST ASHFIELD SOUTHBOUND
2007/08,Dec,13,4134,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,SILVERWATER ROAD (115) SILVERWATER SOUTHBOUND
2007/08,Aug,2,636,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PACIFIC HIGHWAY (505) GATESHEAD SOUTHBOUND
2007/08,Apr,245,77910,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,O'CONNELL STREET(22) PARRAMATTA SOUTHBOUND
2007/08,Apr,93,29574,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,HAMILTON ROAD (152) FAIRFIELD WESTBOUND
2007/08,Apr,107,34026,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CHURCH STREET (74) RYDE SOUTHBOUND
2007/08,Mar,50,15900,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CUMBERLAND HIGHWAY (96) WEST CABRAMATTA NORTHBOUND
2007/08,Apr,75,23850,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,KING STREET (605) WARRAWONG SOUTHBOUND
2007/08,Mar,259,82362,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,FAIRLIGHT STREET (137) FIVE DOCK EASTBOUND
