2013,Stealing from person,,,Steal from motor vehicle,,,Robbery,,,Assault -non-domestic violence,,,Assault - domestic violence,,,Sexual offences,,
,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank
Manly, 51 , 118.4 , 15 , 217 , 504.0 , 77 , 10 , 23.2 , 77 , 243 , 564.3 , 48 , 74 , 171.9 , 125 , 36 , 83.6 , 123 
Marrickville, 106 , 129.2 , 11 , 553 , 674.2 , 43 , 70 , 85.3 , 10 , 370 , 451.1 , 68 , 304 , 370.6 , 77 , 106 , 129.2 , 93 
Mid-Western Regional, 7 , 29.8 , 82 , 109 , 464.6 , 84 , 6 , 25.6 , 71 , 153 , 652.1 , 34 , 90 , 383.6 , 71 , 62 , 264.3 , 22 
Moree Plains, 24 , 168.0 , 4 , 262 ," 1,834.0 ", 2 , 19 , 133.0 , 4 , 239 ," 1,673.0 ", 3 , 217 ," 1,519.0 ", 3 , 55 , 385.0 , 10 
Mosman, 8 , 26.9 , 88 , 119 , 400.5 , 95 , 3 , 10.1 , 105 , 49 , 164.9 , 132 , 27 , 90.9 , 138 , 15 , 50.5 , 138 
Murray, 1 , 13.7 , 105 , 46 , 631.5 , 54 , - , - , nc , 15 , 205.9 , 128 , 19 , 260.8 , 103 , 7 , 96.1 , 115 
Murrumbidgee, - , nc , nc , 28 , nc , nc , - , nc , nc , 14 ,  nc  ,  nc  , 15 , nc , nc , 2 , nc , nc 
Muswellbrook, 3 , 18.0 , 98 , 155 , 929.3 , 15 , 11 , 66.0 , 18 , 116 , 695.5 , 29 , 103 , 617.5 , 29 , 26 , 155.9 , 78 
Nambucca, 9 , 46.5 , 62 , 118 , 609.4 , 57 , 8 , 41.3 , 37 , 133 , 686.9 , 30 , 92 , 475.2 , 46 , 29 , 149.8 , 80 
Narrabri, 4 , 29.5 , 84 , 141 ," 1,039.5 ", 9 , 1 , 7.4 , 110 , 92 , 678.3 , 33 , 64 , 471.8 , 47 , 16 , 118.0 , 104 
Narrandera, - , - , nc , 23 , 378.5 , 102 , 4 , 65.8 , 19 , 33 , 543.1 , 51 , 34 , 559.6 , 35 , 11 , 181.0 , 61 
Narromine, 7 , 100.8 , 19 , 87 ," 1,252.7 ", 7 , 2 , 28.8 , 67 , 61 , 878.3 , 10 , 46 , 662.3 , 21 , 30 , 432.0 , 6 
Newcastle, 244 , 155.9 , 7 ," 1,731 "," 1,105.8 ", 8 , 130 , 83.0 , 12 ," 1,064 ", 679.7 , 32 , 681 , 435.1 , 56 , 365 , 233.2 , 32 
North Sydney, 58 , 85.3 , 23 , 298 , 438.4 , 88 , 22 , 32.4 , 52 , 191 , 281.0 , 104 , 132 , 194.2 , 119 , 47 , 69.1 , 133 
Oberon, 3 , 57.6 , 47 , 14 , 268.8 , 119 , - , - , nc , 23 , 441.5 , 73 , 11 , 211.2 , 115 , 7 , 134.4 , 91 
Orange, 34 , 84.7 , 24 , 412 ," 1,026.2 ", 10 , 21 , 52.3 , 25 , 310 , 772.1 , 19 , 290 , 722.3 , 18 , 70 , 174.4 , 67 
Palerang, 3 , 19.9 , 96 , 28 , 186.0 , 130 , - , - , nc , 23 , 152.8 , 136 , 19 , 126.2 , 134 , 9 , 59.8 , 135 
Parkes, 3 , 19.8 , 97 , 97 , 640.3 , 48 , 1 , 6.6 , 111 , 108 , 713.0 , 24 , 87 , 574.3 , 33 , 36 , 237.7 , 31 
Parramatta, 291 , 163.3 , 5 ," 1,222 ", 685.6 , 40 , 241 , 135.2 , 3 , 938 , 526.3 , 52 , 774 , 434.3 , 57 , 227 , 127.4 , 94 
Penrith, 197 , 105.4 , 17 ," 1,388 ", 742.5 , 33 , 149 , 79.7 , 13 , 946 , 506.1 , 57 , 999 , 534.4 , 38 , 337 , 180.3 , 62 
Pittwater, 43 , 70.5 , 34 , 290 , 475.6 , 82 , 16 , 26.2 , 70 , 137 , 224.7 , 119 , 90 , 147.6 , 130 , 34 , 55.8 , 136 
Port Macquarie-Hastings, 37 , 48.9 , 56 , 292 , 385.8 , 101 , 23 , 30.4 , 61 , 388 , 512.6 , 55 , 322 , 425.4 , 60 , 133 , 175.7 , 66 
Port Stephens, 21 , 31.0 , 80 , 365 , 538.8 , 72 , 21 , 31.0 , 58 , 294 , 434.0 , 77 , 285 , 420.7 , 63 , 111 , 163.8 , 72 
Queanbeyan, 15 , 37.5 , 73 , 224 , 559.6 , 68 , 12 , 30.0 , 62 , 136 , 339.8 , 91 , 132 , 329.8 , 88 , 50 , 124.9 , 98 
Randwick, 115 , 82.6 , 25 , 815 , 585.2 , 61 , 78 , 56.0 , 21 , 460 , 330.3 , 96 , 334 , 239.8 , 109 , 143 , 102.7 , 112 
Richmond Valley, 11 , 48.5 , 58 , 137 , 604.3 , 58 , 10 , 44.1 , 33 , 142 , 626.4 , 37 , 134 , 591.1 , 30 , 56 , 247.0 , 27 
Rockdale, 109 , 104.3 , 18 , 664 , 635.2 , 51 , 58 , 55.5 , 23 , 252 , 241.1 , 114 , 282 , 269.8 , 100 , 73 , 69.8 , 131 
Ryde, 70 , 63.4 , 41 , 429 , 388.6 , 100 , 49 , 44.4 , 31 , 246 , 222.8 , 121 , 167 , 151.3 , 129 , 104 , 94.2 , 117 
Shellharbour, 31 , 46.5 , 61 , 462 , 693.7 , 39 , 28 , 42.0 , 36 , 280 , 420.4 , 78 , 235 , 352.9 , 82 , 98 , 147.2 , 83 
Shoalhaven, 40 , 41.4 , 67 , 578 , 597.6 , 59 , 35 , 36.2 , 44 , 480 , 496.3 , 59 , 418 , 432.2 , 58 , 209 , 216.1 , 45 
Singleton, 9 , 38.0 , 72 , 150 , 632.8 , 53 , 7 , 29.5 , 63 , 106 , 447.2 , 70 , 80 , 337.5 , 85 , 30 , 126.6 , 96 
Snowy River, 3 , 38.0 , 71 , 33 , 418.0 , 94 , - , - , nc , 35 , 443.4 , 72 , 22 , 278.7 , 97 , 10 , 126.7 , 95 
Strathfield, 54 , 143.8 , 8 , 304 , 809.7 , 28 , 40 , 106.5 , 7 , 126 , 335.6 , 92 , 119 , 316.9 , 90 , 38 , 101.2 , 114 
Sutherland Shire, 108 , 49.0 , 55 , 935 , 424.0 , 92 , 53 , 24.0 , 73 , 557 , 252.6 , 111 , 373 , 169.1 , 126 , 154 , 69.8 , 132 
Sydney," 2,220 "," 1,182.9 ", nc ," 2,347 "," 1,250.5 ", nc , 590 , 314.4 , nc ," 3,548 "," 1,890.5 ",  nc  , 962 , 512.6 , nc , 498 , 265.3 , nc 
Tamworth Regional, 16 , 27.1 , 87 , 347 , 588.0 , 60 , 51 , 86.4 , 9 , 442 , 748.9 , 20 , 407 , 689.6 , 20 , 150 , 254.2 , 25 
Temora, 1 , 16.8 , 99 , 19 , 319.8 , 116 , - , - , nc , 35 , 589.1 , 44 , 27 , 454.5 , 54 , 17 , 286.1 , 19 
Tenterfield, 3 , 42.7 , 66 , 44 , 626.2 , 55 , 2 , 28.5 , 68 , 40 , 569.2 , 47 , 51 , 725.8 , 16 , 24 , 341.5 , 13 
The Hills Shire, 45 , 25.0 , 90 , 655 , 363.7 , 105 , 32 , 17.8 , 87 , 278 , 154.4 , 135 , 263 , 146.0 , 131 , 129 , 71.6 , 129 
Tumbarumba, 1 , 28.8 , 85 , 5 , 144.1 , 136 , 1 , 28.8 , 66 , 11 , 316.9 , 98 , 5 , 144.1 , 132 , 4 , 115.2 , 107 
Tumut Shire, - , - , nc , 73 , 646.9 , 46 , 5 , 44.3 , 32 , 52 , 460.8 , 64 , 58 , 514.0 , 40 , 18 , 159.5 , 76 
Tweed, 57 , 64.2 , 39 , 497 , 559.4 , 69 , 15 , 16.9 , 89 , 330 , 371.4 , 83 , 337 , 379.3 , 73 , 129 , 145.2 , 84 
Unincorporated Far West, 1 , nc , nc , 13 , nc , nc , 1 , nc , nc , 21 ,  nc  ,  nc  , 11 , nc , nc , 11 , nc , nc 
